"ClassicalLatin(spelling)","VulgarLatin(pronunciation)","Spanish","Spanish","Portuguese","Portuguese"
"ClassicalLatin(spelling)","VulgarLatin(pronunciation)","Spelling","Pronunciation","Spelling","Pronunciation"
"a","/a/","a~á","/a/","a~á~â","/a/~/?/"
"?","/a/","a~á","/a/","a~á~â","/a/~/?/"
"e,ae","/?/","ie~ié","/je?/","e~é","/?/"
"?,oe","/e/","e~é","/e?/","e~ê","/e/"
"i","/e/","e~é","/e?/","e~ê","/e/"
"?","/i/","i~í","/i/","i~í","/i/"
"o","/?/","ue~ué","/we?/","o~ó","/?/"
"?","/o/","o~ó","/o?/","o~ô","/o/"
"u","/o/","o~ó","/o?/","o~ô","/o/"
"?","/u/","u~ú","/u/","u~ú","/u/"
"au","/aw/","o~ó","/o?/","ou","/ow/"
